id,ibm_date,ibm_score,ibm_label,ibm_content
breitbart-news,2023-11-24T18:00:15Z,-0.3591,negative,"Elon Musk’s Tesla has ventured into the car insurance market, promising superior service for owners of the company’s EVs. Despite that promise, the company is now facing significant customer dissatis… [+2898 chars]"
fortune,2023-11-22T12:11:52Z,0.0,neutral,"New car sales in the European Union rose 14.6% in October, boosted in part by a big jump in sales of fully electric cars, while hybrid electric vehicles accounted for nearly three of every 10 vehicle… [+1472 chars]"
reuters,2023-11-21T13:03:57Z,0.7511,positive,"In February, Mark Bova purchased a used 2018 Tesla Model S. Before leaving the dealer, he bought insurance from Tesla itself, finding the initial $93 monthly premium really reasonable.
Sixteen days … [+19171 chars]"
abc-news,2023-11-09T07:50:29Z,0.9467,positive,"TOKYO -- Honda Motor Co.'s profit jumped 34% in July-September from a year earlier as a weak yen helped boost the Japanese automakers strong overseas earnings thanks to healthy demand, especially in … [+2409 chars]"
abc-news,2023-11-09T10:22:28Z,-0.6854,negative,"TOKYO -- Nissans profit zoomed up more than 10-fold in July-September from a year earlier, boosted by a weak Japanese yen and strong vehicle sales around the world.
The Japanese automaker, allied wi… [+2344 chars]"
abc-news,2023-11-13T18:22:15Z,0.0,neutral,"LITTLE ROCK, Ark. -- Exxon Mobil on Monday announced it's drilling for lithium in southern Arkansas, with the oil giant expected to begin production of the critical material for electric vehicles by … [+1835 chars]"
cbs-news,2023-11-16T17:18:00Z,0.0,neutral,"Auto industry expert discusses latest GM-UAW tentative agreement 
Auto industry expert discusses latest GM-UAW tentative agreement04:19
United Auto Workers union members have voted to approve a new… [+4219 chars]"
next-big-future,2023-11-24T16:10:03Z,0.0,neutral,"Toyota has published an advanced battery roadmap in September, 2023 which has new iron phosphate batteries and solid state batteries in 2026.
Toyota’s strategy includes three new liquid electrolyte … [+4124 chars]"
fortune,2023-11-26T20:37:57Z,0.2815,positive,"Battery giants are starting to put their money on new sodium-based technology, a sign that there could be yet another shakeup in the industry thats crucial for the energy transition.Sodium found in r… [+3869 chars]"
the-verge,2023-11-16T19:05:00Z,0.0,neutral,"Kia brings EV3 and EV4 concepts to the LA Auto Show and is launching an all-new hybrid Sorento
Kia brings EV3 and EV4 concepts to the LA Auto Show and is launching an all-new hybrid Sorento
 / Kias… [+1881 chars]"
newsweek,2023-11-18T09:00:01Z,0.0,neutral,"Homes could soon feature columns of concrete mixed with charcoal that have the ability to store electricity and discharge it when needed by occupants.
Researchers at the Massachusetts Institute of T… [+8306 chars]"
bloomberg,2023-11-17T06:32:53Z,-0.5962,negative,"Nations slow to adopt electric vehicles are likely to end up with a glut of used gasoline cars if they fail to accelerate the shift to electrification, according to a report by London-based think-tan… [+1691 chars]"
newsweek,2023-11-11T08:00:01Z,-0.5112,negative,"Saturday, November 11, is Veterans Day, a federal holiday that celebrates those who served in the U.S. military. As a federal holiday, many stores, businesses and government building hours will be af… [+3274 chars]"
newsweek,2023-11-23T08:00:01Z,-0.5492,negative,"The U.S. Postal Service (USPS) lists Thanksgiving, which this year falls on Thursday, November 23, on its federal holiday list in which services will be halted. A USPS spokesperson told Newsweek that… [+3558 chars]"
newsweek,2023-11-16T02:49:36Z,0.277,positive,"The United States Postal Service (USPS) may be raising its rates on some of its shipping services, but holiday shoppers will be spared the extra cost this season. The higher rates, if approved, won't… [+3596 chars]"
newsweek,2023-11-13T11:56:18Z,0.0,neutral,"A Chinese state newspaper has mocked American media and politicians' talk of the U.S. helping China with favorable trade deals, saying that Washington has played no role in the economic rise of the c… [+3693 chars]"
fortune,2023-11-14T13:01:33Z,-0.2909,negative,Elon Musk is something of a notorious workaholic so its unusual that he would pass up a chance at a potentially lucrative deal that could see Tesla enter the worlds third largest car market.Yet the e… [+3550 chars]
fortune,2023-11-17T19:24:57Z,-0.8037,negative,"New Teslas are an increasingly common sight on North American roads, but they dont stay new foreverand some get into accidents. If one takes more damage than is worth fixing, insurers might send it t… [+3458 chars]"
fortune,2023-11-17T15:23:29Z,0.0,neutral,Members of the United Auto Workers union were close to approving contract agreements with Stellantis and Ford on Friday with voting at both companies overwhelmingly in favor and only a few factories … [+3525 chars]
fortune,2023-11-21T22:33:26Z,-0.3476,negative,"New Jersey will prohibit the sale of new gasoline-powered vehicles by 2035 as part of an effort to improve air quality and reduce planet-warming pollutants, officials announced Tuesday.A rule that wi… [+3031 chars]"
fortune,2023-11-24T15:44:34Z,0.0,neutral,"Organized labor ranks among Elon Musks least favorite things, right up alongside Wall Street short sellers and the mainstream media.The worlds wealthiest man built Tesla into the industrys dominant a… [+2704 chars]"
abc-news,2023-11-24T10:15:20Z,0.8501,positive,"LONDON -- Nissan will invest more than 1 billion pounds ($1.3 billion) to update its factory in northeast England to make electric versions of its two best-selling cars, a boost for the British gover… [+2039 chars]"
the-verge,2023-11-13T18:04:45Z,0.0,neutral,"ExxonMobil is a lithium company now
ExxonMobil is a lithium company now
 / ExxonMobil plans on extracting and producing battery-grade lithium from the Smackover Formation in Arkansas.
ByEmma Roth,… [+2526 chars]"
newsweek,2023-11-17T10:30:01Z,0.71,positive,"The 2023 LA Auto Show was a little quieter than usual, but it was home to a handful of new vehicle reveals from both the gasoline and electric segment. They include luxury and more family-oriented ri… [+7996 chars]"
next-big-future,2023-11-22T16:10:45Z,0.0,neutral,"Guided by machine learning, chemists at the Department of Energys Oak Ridge National Laboratory designed a record-setting carbonaceous supercapacitor material that stores four times more energy than … [+9880 chars]"
abc-news,2023-11-23T13:34:28Z,0.0,neutral,"Electric vehicle sales are expected to hit a record 9% of all passenger vehicles in the U.S. this year, according to Atlas Public Policy. That will be up from 7.3% of new car sales in 2022.
It will … [+3780 chars]"
newsweek,2023-11-21T12:00:01Z,0.7118,positive,"Maria Tidwell, a code enforcer in Gladewater, Texas, is the kind of civil servant any municipality would want. Energetic and proactive, she began looking for ways to improve the town as soon as she w… [+5653 chars]"
newsweek,2023-11-10T07:14:52Z,0.418,positive,"China will tighten reporting controls on strategic rare earth elements, according to its Commerce Ministry, in a move that could choke off America's supply of critical minerals used in the production… [+4637 chars]"
fortune,2023-11-16T09:51:27Z,-0.5148,negative,"In a tight vote, thousands of United Auto Workers members at General Motors are expected to finish casting ballots Thursday on a tentative contract agreement that could be a giant step toward ending … [+4162 chars]"
fortune,2023-11-16T19:08:57Z,0.0,neutral,"United Auto Workers union members have voted to approve a new contract with General Motors, making the company the first Detroit automaker to get a ratified deal that could end a contentious labor di… [+4990 chars]"
fortune,2023-11-27T09:46:37Z,-0.6403,negative,"The negative impact on the climate from passenger vehicles, which is considerable, could have dropped by more than 30% over the past decade if not for the worlds appetite for large cars, a new report… [+4078 chars]"
new-york-magazine,2023-11-24T11:00:46Z,0.0,neutral,"Donald Trump is on pace to win back the White House next year on the strength of his anti-inflation message. Which is a little odd, since the Republican candidates economic platform amounts to a plan… [+15700 chars]"
abc-news,2023-11-15T17:34:09Z,-0.7607,negative,"RABAT, Morocco -- A mining company controlled by Morocco 's royal family on Wednesday denied claims that operations at a site used to mine minerals for car batteries were causing hazardous levels of … [+2909 chars]"
fortune,2023-11-14T12:30:27Z,-0.561,negative,"Economic leaders are looking to the past for some inspiration on how to deal with the presentthe only issue is, no one seems to be able to agree which past era they should be studying. Deutsche Bank … [+4294 chars]"
fortune,2023-11-16T14:05:17Z,0.0,neutral,"President Biden has been touting his economic record in the buildup to the 2024 presidential election, taking a term used to denigrate his economic policies by more conservative columnistsBidenomicsa… [+5023 chars]"
fortune,2023-11-09T14:46:57Z,0.0,neutral,"President Joe Biden went to Chicago on June 28 to give a landmark speech on Bidenomics, only to learn in private during the trip about a soon-to-close auto factory, news that was a challenge to his v… [+4731 chars]"
fortune,2023-11-13T13:19:36Z,0.0,neutral,"Indias Narendra Modi is reportedly considering cutting import duties for electric vehicles in a bid to attract a major multi-billion dollar investment by Tesla CEO Elon Musk.For years, the two have w… [+3764 chars]"
fortune,2023-11-16T12:01:26Z,-0.3547,negative,"When Bill Gates speaks, people listen. His contributions to tackling global problems have been nothing short of extraordinary, from funding cutting-edge vaccine development to supporting an array of … [+6266 chars]"
abc-news,2023-11-09T07:50:34Z,0.9467,positive,"TOKYO -- Honda Motor Co.'s profit jumped 34% in July-September from a year earlier as a weak yen helped boost the Japanese automakers strong overseas earnings thanks to healthy demand, especially in … [+2409 chars]"
time,2023-11-14T14:40:35Z,-0.5356,negative,"The world is off track in its efforts to curb global warming in 41 of 42 important measurements and is even heading in the wrong direction in six crucial ways, a new international report calculates.… [+3933 chars]"
abc-news,2023-11-23T13:34:33Z,0.0,neutral,"Electric vehicle sales are expected to hit a record 9% of all passenger vehicles in the U.S. this year, according to Atlas Public Policy. That will be up from 7.3% of new car sales in 2022.
It will … [+3780 chars]"
abc-news,2023-11-17T01:18:35Z,-0.454,negative,"SAN FRANCISCO -- Chinese President Xi Jinping, fresh off his meeting with President Joe Biden, courted Indo-Pacific leaders in a flurry of meetings Thursday at a time of intensifying competition with… [+2397 chars]"
the-verge,2023-11-16T13:00:00Z,0.4053,positive,"Sustainably charging electric vehicles and providing power to over 250 people for eight days in the middle of the desert is no easy task. Renewable Innovations has the answer.
ByEmme Hall
Nov 16, 2… [+10026 chars]"
wired,2023-11-21T12:00:00Z,0.0,neutral,"Incentivizing Uber and Lyft drivers to go green lays the groundwork for more utilization of charging stations, says David Do, the citys Taxi and Limousine commissioner. Get more people into electric … [+2433 chars]"
abc-news,2023-11-13T22:14:39Z,-0.5072,negative,"DETROIT -- Stellantis said Monday it will offer buyout or early retirement packages to about 6,400 nonunion U.S. salaried employees as the auto industry faces what the company is calling challenging … [+1273 chars]"
the-washington-post,2023-11-17T13:00:47Z,0.6341,positive,"Comment on this story
Comment
Add to your saved stories
Save
Few Democrats would deny that the party must win back working people. Yet one of the partys long-term conundrums is whether they can p… [+4641 chars]"
ars-technica,2023-11-18T12:09:16Z,-0.7159,negative,"1 with 
We hop in the car to get groceries or drop kids at school. But while the car is convenient, these short trips add up in terms of emissions, pollution, and petrol cost.
Close to half (44 per… [+5319 chars]"
abc-news,2023-11-24T10:22:34Z,0.8501,positive,"LONDON -- Nissan will invest more than 1 billion pounds ($1.3 billion) to update its factory in northeast England to make electric versions of its two best-selling cars, a boost for the British gover… [+2039 chars]"
the-verge,2023-11-27T16:43:26Z,0.0,neutral,"Digital car keys are here. Are we ready?
Digital car keys are here. Are we ready?
 / NFC versus ultra wideband. Tap-to-start versus passive signals. If were going to use our phones to operate our c… [+9943 chars]"
abc-news,2023-11-21T22:39:14Z,-0.6739,negative,"WASHINGTON -- WASHINGTON (AP) The Biden administration is making $2 billion available to community groups, states and tribes to clean up pollution and develop clean energy in disadvantaged communitie… [+3511 chars]"
newsweek,2023-11-27T17:52:19Z,0.4455,positive,"As a year that brought the highest global temperatures ever recorded winds down, world leaders will gather in the United Arab Emirates city of Dubai later this week for the latest United Nations nego… [+8440 chars]"
fortune,2023-11-11T11:00:00Z,0.8039,positive,"In June 2021, Brian Deese, the director of Joe Bidens National Economic Council, planted a flag in the ground. I am excited to lay out our vision for a 21st-century American industrial strategy, he s… [+19426 chars]"
engadget,2023-11-21T23:06:01Z,0.0,neutral,"Tesla, which hosts 50,000+ supercharging stations
 for electric vehicles globally, is rolling out
 a new fee system that the company hopes will free up charging traffic at its stations. Supercharge… [+2157 chars]"
abc-news,2023-11-21T19:10:50Z,-0.2987,negative,"TRENTON, N.J. -- New Jersey will prohibit the sale of new gasoline-powered vehicles by 2035 as part of an effort to improve air quality and reduce planet-warming pollutants, officials announced Tuesd… [+3138 chars]"
business-insider,2023-11-16T09:15:02Z,-0.5644,negative,"Though electric vehicles have been on the market for years, range anxiety is still holding many people back from making the switch. And if you have a non-Tesla EV, you aren't necessarily going to hav… [+2170 chars]"
abc-news,2023-11-17T18:14:10Z,0.0,neutral,DETROIT -- Members of the United Auto Workers union were close to approving contract agreements with Stellantis and Ford on Friday with voting at both companies overwhelmingly in favor and only a few… [+3579 chars]
abc-news,2023-11-15T17:34:15Z,-0.7607,negative,"RABAT, Morocco -- A mining company controlled by Morocco 's royal family on Wednesday denied claims that operations at a site used to mine minerals for car batteries were causing hazardous levels of … [+2909 chars]"
bloomberg,2023-11-21T06:36:22Z,0.5825,positive,"India is closing in on an agreement with Tesla Inc. that would allow the US automaker to ship its electric cars to the country from next year and set up a factory within two years, according to peopl… [+2974 chars]"
business-insider,2023-11-12T12:24:02Z,0.0,neutral,"Some students in Holstebro, Denmark could soon say goodbye to normal dorms and hello to 3D-printed homes
.
In 2024, 3DCP Group
 and design firm SAGA Space Architects say they will build a non-prof… [+2932 chars]"
